exp_tensile_strain,exp_tensile_stress,cal_tensile_strain,cal_tensile_stress,val_tensile_strain,val_tensile_stress
0.22664,803.65,0.16846153846153836,705.9544392095181,,
0.22762,805.5,0.16923076923076913,707.5061562284951,,
0.2286,807.7,0.1699999999999999,709.0572117377634,,
0.22957,809.61,0.17076923076923067,710.6076060138914,,
0.23055,811.08,0.17153846153846145,712.1573393333339,,
0.23154,813.05,0.17230769230769222,713.7064119724376,,
0.23247,815.43,0.173076923076923,715.254824207432,,
0.23341,817.08,0.17384615384615376,716.8025763144423,,
0.23435,819.19,0.17461538461538453,718.3496685694857,,
0.23529,820.63,0.1753846153846153,719.8961012484585,,
0.23626,822.27,0.17615384615384608,721.4418746271538,,
0.23688,832.59,0.17692307692307685,722.9869889812512,,
0.23787,833.22,0.17769230769230762,724.5314445863191,,
0.23893,832.73,0.1784615384615384,726.0752417178207,,
0.24001,832.69,0.17923076923076917,727.6183806510969,,
0.24107,833.33,0.17999999999999994,729.1608616613939,,
0.24211,834.97,0.1807692307692307,730.7026850238329,,
0.24311,836.13,0.18153846153846148,732.2438510134305,,
0.24409,837.94,0.18230769230769225,733.7843599050956,,
0.24508,839.24,0.18307692307692303,735.3242119736204,,
0.24607,840.83,0.1838461538461538,736.863407493698,,
0.24706,843.05,0.18461538461538457,738.4019467398956,,
0.24804,844.87,0.18538461538461534,739.9398299866816,,
0.24904,847.03,0.18615384615384611,741.4770575084071,,
0.25001,848.86,0.1869230769230769,743.0136295793201,,
0.251,850.16,0.18769230769230766,744.5495464735569,,
0.25197,852.19,0.18846153846153843,746.0848084651362,,
0.25291,854.57,0.1892307692307692,747.6194158279737,,
0.25388,856.51,0.18999999999999997,749.1533688358753,,
0.25484,858.58,0.19076923076923075,750.6866677625322,,
0.25582,860.2,0.19153846153846152,752.2193128815305,,
0.25682,861.78,0.1923076923076923,753.7513044663442,,
0.25775,863.97,0.19307692307692306,755.2826427903368,,
0.25868,866.3,0.19384615384615383,756.8133281267625,,
0.2596,868.1,0.1946153846153846,758.3433607487683,,
0.26054,870.17,0.19538461538461538,759.8727409293862,,
0.26151,871.68,0.19615384615384615,761.4014689415407,,
0.26253,873.12,0.19692307692307692,762.9295450580495,,
0.2631,883.94,0.1976923076923077,764.4569695516154,,
0.2641,885.31,0.19846153846153847,765.9837426948415,,
0.26512,884.39,0.19923076923076924,767.5098647602066,,
0.26616,883.78,0.2,769.0353360200894,,
0.2672,884.43,0.20076923076923078,770.560156746759,,
0.26816,886.02,0.20153846153846156,772.0843272123756,,
0.26911,887.09,0.20230769230769233,773.6078476889868,,
0.27008,888.66,0.2030769230769231,775.1307184485282,,
0.27107,889.91,0.20384615384615387,776.6529397628337,,
0.27206,891.42,0.20461538461538464,778.1745119036225,,
0.27305,893.88,0.20538461538461542,779.6954351425037,,
0.27403,895.48,0.2061538461538462,781.2157097509914,,
0.27498,897.61,0.20692307692307696,782.7353360004665,,
0.27591,899.3,0.20769230769230773,784.2543141622198,,
0.27689,900.98,0.2084615384615385,785.7726445074197,,
0.27782,902.48,0.20923076923076928,787.2903273071361,,
0.27875,905.18,0.21000000000000005,788.8073628323278,,
0.27967,907.08,0.21076923076923082,790.32375135384,,
0.28057,908.96,0.2115384615384616,791.8394931424149,,
0.28148,910.41,0.21230769230769236,793.3545884686789,,
0.28241,911.96,0.21307692307692314,794.8690376031565,,
0.2833,914.27,0.2138461538461539,796.3828408162624,,
0.28423,916.38,0.21461538461538468,797.8959983782918,,
0.28517,918.51,0.21538461538461545,799.4085105594505,,
0.28614,920.38,0.21615384615384622,800.9203776298173,,
0.28713,922.04,0.216923076923077,802.4315998593754,,
0.28812,923.78,0.21769230769230777,803.9421775179885,,
0.2891,926.28,0.21846153846153854,805.4521108754218,,
0.28951,930.37,0.2192307692307693,806.9614002013275,,
0.29033,936.87,0.22000000000000008,808.4700457652464,,
0.29129,936.47,0.22076923076923086,809.9780478366155,,
0.29224,936.7,0.22153846153846163,811.4854066847621,,
0.29318,936.93,0.2223076923076924,812.9921225789055,,
0.2941,937.43,0.22307692307692317,814.4981957881536,,
0.29503,938.24,0.22384615384615394,816.0036265815078,,
0.29601,939.09,0.22461538461538472,817.5084152278653,,
0.29695,940.49,0.2253846153846155,819.0125619960102,,
0.29786,942.5,0.22615384615384626,820.5160671546181,,
0.29875,944.01,0.22692307692307703,822.0189309722623,,
0.29961,945.72,0.2276923076923078,823.5211537174006,,
0.30048,946.79,0.22846153846153858,825.0227356583878,,
0.30138,949.01,0.22923076923076935,826.5236770634641,,
0.30222,950.75,0.23000000000000012,828.023978200774,,
0.30307,953.03,0.2307692307692309,829.5236393383435,,
0.30393,954.58,0.23153846153846167,831.0226607440944,,
0.30479,956.02,0.23230769230769244,832.5210426858412,,
0.30562,958.07,0.2330769230769232,834.0187854312865,,
0.3065,959.98,0.23384615384615398,835.5158892480295,,
0.30737,962.17,0.23461538461538475,837.0123544035615,,
0.30829,964.09,0.23538461538461553,838.5081811652674,,
0.30924,965.58,0.2361538461538463,840.0033698004167,,
0.3102,967.89,0.23692307692307707,841.4979205761821,,
0.31112,969.73,0.23769230769230784,842.9918337596216,,
0.31201,971.88,0.2384615384615386,844.4851096176844,,
0.31292,973.84,0.23923076923076939,845.9777484172213,,
0.31383,975.22,0.24000000000000016,847.4697504249626,,
0.31477,977.19,0.24076923076923093,848.9611159075447,,
0.31565,979.74,0.2415384615384617,850.4518451314847,,
0.31656,981.5,0.24230769230769247,851.9419383632002,,
0.31743,983.34,0.24307692307692325,853.4313958690012,,
0.31837,984.93,0.24384615384615402,854.9202179150892,,
0.31929,986.74,0.2446153846153848,856.4084047675541,,
0.32018,989.48,0.24538461538461556,857.8959566923827,,
0.32107,991.16,0.24615384615384633,859.3828739554558,,
0.32193,993.17,0.2469230769230771,860.8691568225456,,
0.32281,994.65,0.24769230769230788,862.3548055593158,,
0.32372,996.43,0.24846153846153865,863.8398204313255,,
0.32457,998.87,0.24923076923076942,865.3242017040251,,
0.32543,1000.6,0.25000000000000017,866.8079496427614,,
